Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","BRA","Brésil","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","192979.029","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BRN","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","379.252","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BGR","Bulgarie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","7510.331","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BFA","Burkina Faso","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","14689.726","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BDI","Burundi","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8212.264","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","CPV","Cabo Verde","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","491.723","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","KHM","Cambodge","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","13880.509","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","CMR","Cameroun","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","18907.008","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","CAN","Canada","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","33404.548","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","CHL","Chili","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","16661.942","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","CPR","Chine","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1374798.424","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","HKG","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6940.323","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
